Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
33.120.221,TRUE,TRUE,2059,American Decorative Arts,Chocolate Pot,Chocolate Pot,American,,,,,Maker,,Edward Winslow,1669–1753,,"Winslow, Edward",American,1669,1753,1700–1710,1700,1710,Silver,"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,Boston,,,United States,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/2059,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
"28.52a, b",TRUE,TRUE,2390,American Decorative Arts,Goblet,Covered goblet,American,,,,,Maker|Maker,,New Bremen Glass Manufactory|John Frederick Amelung,1784–1795|active 1784–ca. 1791,,"New Bremen Glass Manufactory |Amelung, John Frederick",,1784      |1784      ,1795      |1791      ,1788,1788,1788,Blown and engraved glass,H. 11 1/4 in. (28.6 cm),"Rogers Fund, 1928",Made in,New Bremen,Frederick County,Frederick County,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/2390,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
18.95.16,TRUE,TRUE,2408,American Decorative Arts,Sugar pot,Sugar pot,American,,,,,,,,,,,,,,1820–40,1820,1840,Earthenware with slip decoration,H. 12 3/4 in. (32.4 cm); Diam. 10 in. (25.4 cm),"Rogers Fund, 1918",Made in,,Alamance,Alamance,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/2408,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
15.21.2,TRUE,TRUE,3141,American Decorative Arts,Desk and bookcase,Desk and bookcase,American,,,,,,,,,,,,,,1760–90,1760,1790,"Mahogany, chestnut, white pine, yellow pine,
tulip poplar, cedar",99 1/8 x 44 1/8 x 25 3/4 in. (251.8 x 112.1 x 65.4 cm),"Rogers Fund, 1915",Made in,Newport,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/3141,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
69.203,TRUE,TRUE,3152,American Decorative Arts,Desk and bookcase,Desk and Bookcase,American,,,,,,,,,,,,,,ca. 1811,1808,1811,"Mahogany, satinwood, maple, verre églomisé
with cedar",91 x 72 x 19 1/8 in. (231.1 x 182.9 x 48.6 cm),"Gift of Mrs. Russell Sage and various other donors, by exchange, 1969",Made in,Baltimore,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/3152,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
"60.29.1a, b",TRUE,TRUE,3158,American Decorative Arts,Secretary bookcase,Secretary-bookcase,American,,,,,Maker,Possibly by,Robert Fisher,"American, active 1824–37",,"Fisher, Robert",,1824,1837,1825–35,1825,1835,"Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, and glass (secondary woods: pine, poplar, cherry)
",102 x 55 3/4 x 28 1/8 in. (259.1 x 141.6 x 71.4 cm),"Gift of Francis Hartman Markoe, 1960",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/3158,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
50.228.3,TRUE,TRUE,3497,American Decorative Arts,Easy chair,Easy Chair,American,,,,,Maker,,Caleb Gardner,died 1761,,"Gardner, Caleb",,1711,1761,1758,1758,1758,"Walnut, maple",46 3/8 x 32 3/8 x 25 7/8 in. (117.8 x 82.2 x 65.7 cm),"Gift of Mrs. J. Insley Blair, 1950",Made in,Newport,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/3497,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1971.219,TRUE,TRUE,3555,American Decorative Arts,Étagère,Étagère,American,,,,,Maker,,Alexander Roux,1813–1886,,"Roux, Alexander",French,1813,1886,ca. 1855,1855,1855,"Rosewood, chestnut, poplar, bird's-eye maple",86 x 79 1/2 x 31 3/4 in. (218.4 x 201.9 x 80.6 cm),"Sansbury-Mills Fund, 1971",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/3555,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
18.110.4,TRUE,TRUE,4282,American Decorative Arts,High chest of drawers,High chest of drawers,American,,,,,,,,,,,,,,1762–65,1762,1765,"Mahogany, mahogany veneer, tulip poplar,
yellow pine, white cedar",91 3/4 x 44 5/8 x 24 5/8 in. (233 x 113.3 x 62.5 cm),"John Stewart Kennedy Fund, 1918",Made in,Philadelphia,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/4282,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
40.37.1,TRUE,TRUE,4285,American Decorative Arts,High chest of drawers,High chest of drawers,American,,,,,,,,,,,,,,1730–60,1730,1760,"Maple, birch, white pine",86 1/2 x 40 x 21 1/2 in. (219.7 x 101.6 x 54.6 cm),"Purchase, Joseph Pulitzer Bequest, 1940",Made in,Boston,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/4285,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1972.47,TRUE,TRUE,4785,American Decorative Arts,Library table,Library Table,American,,,,,Maker,,Herter Brothers,"German, active New York, 1864–1906",,Herter Brothers,,1864,1906,1879–82,1879,1882,"Rosewood, brass, mother-of-pearl, and abalone",31 1/4 x 60 x 35 3/4 in. (79.4 x 152.4 x 90.8 cm),"Purchase, Mrs. Russell Sage Gift, 1972",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/4785,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
99.2,TRUE,TRUE,4923,American Decorative Arts,Vase,The Magnolia Vase,American,,,,,Manufacturer|Designer,Manufactured by|Designed by,Tiffany & Co.|John T. Curran,1837–present|1859–1933,,"Tiffany & Co.|Curran, John T.",,1837      |1859      ,9999      |1933      ,ca. 1893,1890,1893,"Silver, gold, enamel, opals","Overall: 30 7/8 x 19 1/2 in. (78.4 x 49.5 cm); 838 oz. 11 dwt. (26081.6 g)
Foot: Diam. 13 1/2 in. (34.3 cm)","Gift of Mrs. Winthrop Atwill, 1899",Made in,New York,,,United States,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/4923,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1996.102,TRUE,TRUE,5223,American Decorative Arts,Painting,Apple Blossoms,American,,,,,Artist,,Charles Caryl Coleman,"American, Buffalo, New York 1840–1928 Capri, Italy",,"Coleman, Charles Caryl",American,1840,1928,1889,1889,1889,Oil on canvas,62 3/8 x 35 in. (158.4 x 88.9 cm),"Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/5223,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
30.5,TRUE,TRUE,5582,American Decorative Arts,Stained glass window,Peonies Blown in the Wind,American,,,,,Maker,,John La Farge,"American, New York 1835–1910 Providence, Rhode Island",,"La Farge, John",American,1835,1910,ca. 1880,1877,1880,Leaded opalescent glass,75 x 45 in. (190.5 x 114.3 cm),"Gift of Susan Dwight Bliss, 1930",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/5582,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1976.324,TRUE,TRUE,5630,American Decorative Arts,Pier table,Pier table,American,,,,,Maker,,Joseph B. Barry and Son,1757–1838,,"Barry, and Son Joseph B.",,1757,1838,1810–15,1810,1815,"Mahogany, mahogany veneer, satinwood,
amboyna, pine, gilt bronze with yellow poplar",38 x 54 x 23 3/4 in. (96.5 x 137.2 x 60.3 cm),"Purchase, Friends of the American Wing Fund, Anonymous Gift, George M. Kaufman Gift, Sansbury- Mills Fund; Gifts of the Members of the Committee of the Bertha King Benkard Memorial Fund, Mrs. Russell Sage, Mrs. Frederick Wildman, F. Ethel Wickham, Edgar William and Bernice Chrysler Garbisch, and Mrs. F. M. Townsend, by exchange; and John Stewart Kennedy Fund and Bequests of Martha S. Tiedeman and W. Gedney Beatty, by exchange, 1976",Made in,Philadelphia,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/5630,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
34.100.124,TRUE,TRUE,6186,American Decorative Arts,Plate,Plate,American,,,,,Maker,Possibly,Heinrich Roth,active ca. 1790–1810,,"Roth, Heinrich",,1790,1810,1793,1793,1793,Earthenware; Redware with sgraffito decoration,Diam. 12 1/4 in. (31.1 cm),"Gift of Mrs. Robert W. de Forest, 1933",Possibly made in,,Northampton County,Northampton County,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6186,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
14.74.17,TRUE,TRUE,6635,American Decorative Arts,Pocket bottle,Pocket bottle,American,,,,,Maker|Maker,Attributed to|Attributed to,American Flint Glass Manufactory|Henry William Stiegel,"1764–1774|American (born Germany), Cologne 1729–1785 Charming Forge, Pennsylvania",,"American Flint Glass Manufactory |Stiegel, Henry William","American, born Germany",1764      |1729      ,1774      |1785      ,1769–74,1769,1774,Blown pattern-molded glass,H. 4 3/4 in. (12.1 cm),"Gift of Frederick W. Hunter, 1914",Made in,Manheim,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/6635,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
"1982.4a, b",TRUE,TRUE,6778,American Decorative Arts,Vase,Presentation Vase,American,,,,,Maker|Maker,,Thomas Fletcher|Sidney Gardiner,"American, Alstead, New Hampshire 1787–1866 New Jersey|American, Mattituck, New York 1787–1827 Mexico",,"Fletcher, Thomas|Gardiner, Sidney",American|American,1787      |1787      ,1866      |1827      ,1824,1824,1824,Silver,"Overall: 23 7/16 x 20 1/8 x 15 1/8 in. (59.5 x 51.1 x 38.4 cm); 410 oz. 5 dwt. (12760 g)
Lip: Diam. 12 3/4 in. (32.4 cm)
Cover: 5 5/8 x 12 3/4 in. (14.3 x 32.4 cm)","Purchase, Louis V. Bell and Rogers Funds; Anonymous and Robert G. Goelet Gifts; and Gifts of Fenton L. B. Brown and of the grandchildren of Mrs. Ranson Spaford Hooker, in her memory, by exchange, 1982",Made in,Philadelphia,,,United States,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/6778,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
25.115.15,TRUE,TRUE,6906,American Decorative Arts,Corner chair,Corner chair,American,,,,,Maker,Attributed to,Joseph Armitt,died 1747,,"Armitt, Joseph",,1697,1747,ca. 1740,1735,1745,Walnut,30 1/2 x 28 1/2 x 27 in. (77.5 x 72.4 x 68.6 cm),"Rogers Fund, 1925",Made in,Philadelphia,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/6906,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1999.396,TRUE,TRUE,7586,American Decorative Arts,Sofa,Sofa,American,,,,,Maker,,John H. Belter,1804–1863,,"Belter, J. H.",German,1804,1863,1850–60,1850,1860,Rosewood,53 1/4 x 66 x 25 in. (135.3 x 167.6 x 63.5 cm),"Purchase, Friends of the American Wing Fund and Lila Acheson Wallace Gift, 1999",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/7586,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
60.4.1,TRUE,TRUE,7595,American Decorative Arts,Sofa,Sofa,American,,,,,Maker,Attributed to,Duncan Phyfe,1770–1854,,"Phyfe, Duncan",Scottish,1770,1854,ca. 1810–20,1807,1820,"Mahogany, tulip poplar, cane, gilded brass",34 x 84 3/4 x 23 3/4 in. (86.4 x 215.3 x 60.3 cm),"Gift of C. Ruxton Love Jr., 1960",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/7595,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1990.226a–d,TRUE,TRUE,8288,American Decorative Arts,Urn,Tea Urn,American,,,,,Maker,,Paul Revere Jr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts",,"Revere, Paul, Jr.",American,1734,1818,1791,1791,1791,"Silver, ivory","Overall: 22 1/4 x 10 5/8 x 10 3/8 in. (56.5 x 27 x 26.4 cm); 110 oz. 10 dwt. (3437.2 g)
Body: H. 17 15/16 in. (45.6 cm); 88 oz. 9 dwt. (2750.9 g)
Cover: 7 in. (17.8 cm); Diam. 6 in. (15.2 cm); 11 oz. 5 dwt. (350.7 g)
Insert: H. 9 13/16 in. (24.9 cm); 10 oz. 15 dwt. (335.6 g)","Purchase, The Annenberg Foundation Gift, Annette de la Renta, Mr. and Mrs. Robert G. Goelet, Drue Heinz, and Henry R. Kravis Foundation Inc. Gifts, Friends of the American Wing Fund, Margaret Dewar Stearns Bequest, Mr. and Mrs. Anthony L. Geller and Herbert and Jeanine Coyne Foundation Gifts, Max H. Gluck Foundation Inc. Gift, in honor of Virginia and Leonard Marx, and Rogers, Louis V. Bell and Dodge Funds; and Gift of Elizabeth K. Rodiger, 1990",Made in,Boston,,,United States,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/8288,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
57.130.7,TRUE,TRUE,8489,American Decorative Arts,Tête-à-tête,Tête-à-tête,American,,,,,Maker,Attributed to,John H. Belter,1804–1863,,"Belter, J. H.",German,1804,1863,ca. 1850–60,1847,1860,"Rosewood, ash, pine, walnut",44 1/2 x 52 x 43 in. (113 x 132.1 x 109.2 cm),"Gift of Mrs. Charles Reginald Leonard, in memory of Edgar Welch  Leonard, Robert Jarvis Leonard, and Charles Reginald Leonard, 1957",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/8489,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1984.425,TRUE,TRUE,9317,American Decorative Arts,Vase,Vase,American,,,,,Maker,,John Bennett,1840–1907,,"Bennett, John",,1840,1907,1882,1882,1882,Painted and glazed earthenware,H. 11 in. (27.9 cm); Diam. 11 in. (27.9 cm),"Friends of the American Wing Fund, 1984",Made in,New York,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/9317,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
1984.256,TRUE,TRUE,9334,American Decorative Arts,Vase,Vase,American,,,,,Maker,,Fulper Pottery Company,1899–1935,,Fulper Pottery Company,,1899,1935,ca. 1915,1912,1915,Earthenware,H. 37 in. (94 cm); Diam. 15 in. (38.1 cm),"Gift of the daughters of William H. Fulper III, in honor of their grandfather, William H. Fulper II, 1984",Made in,Flemington,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/9334,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
96.17.10,TRUE,TRUE,9480,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1893–96,1893,1896,Favrile glass,14 1/8 x 11 1/2 in. (35.9 x 29.2 cm),"Gift of H. O. Havemeyer, 1896",Made in,New York,Queens,Queens,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9480,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
"69.140a, b",TRUE,TRUE,9724,American Decorative Arts,Wardrobe,Wardrobe,American,,,,,Maker,,Herter Brothers,"German, active New York, 1864–1906",,Herter Brothers,,1864,1906,1875–1883,1875,1883,Cherry,78 1/2 x 49 1/2 x 26 in. (199.4 x 125.7 x 66 cm),"Gift of Kenneth O. Smith, 1969",Made in,New York,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/9724,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
"46.140.767a, b",TRUE,TRUE,9982,American Decorative Arts,Wine urn,Wine urn,American,,,,,Maker,Probably,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts",,Boston and Sandwich Glass Company ,,1825,1888,1869–80,1869,1880,Pressed glass,H. 20 7/8 in. (53 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Sandwich,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9982,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
40.127,TRUE,TRUE,9997,American Decorative Arts,Architectural elements,"Woodwork of a Room from the Colden House, Coldenham, New York",American,,,,,,,,,,,,,,ca. 1767,1764,1767,Pine,252 x 213 x 113 in. (640.1 x 541 x 287 cm),"Purchase, The Sylmaris Collection, Gift of George Coe Graves, by  exchange, 1940",Made in,Coldenham,Orange County,Orange County,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/9997,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
65.49,TRUE,TRUE,10127,American Decorative Arts,Painting,Ernesta (Child with Nurse),American,,,,,Artist,,Cecilia Beaux,"American, Philadelphia, Pennsylvania 1855–1942 Gloucester, Massachusetts",,"Beaux, Cecilia",American,1855,1942,1894,1894,1894,Oil on canvas,50 1/2 x 38 1/8 in. (128.3 x 96.8 cm),"Maria DeWitt Jesup Fund, 1965",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10127,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
7.123,TRUE,TRUE,10154,American Decorative Arts,Painting,"The Rocky Mountains, Lander's Peak",American,,,,,Artist,,Albert Bierstadt,"American, Solingen 1830–1902 New York",,"Bierstadt, Albert",American,1830,1902,1863,1863,1863,Oil on canvas,73 1/2 x 120 3/4 in. (186.7 x 306.7 cm),"Rogers Fund, 1907",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10154,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
33.61,TRUE,TRUE,10159,American Decorative Arts,Painting,Fur Traders Descending the Missouri,American,,,,,Artist,,George Caleb Bingham,"American, Augusta County, Virginia 1811–1879 Kansas City, Missouri",,"Bingham, George Caleb",American,1811,1879,1845,1845,1845,Oil on canvas,29 x 36 1/2 in. (73.7 x 92.7 cm),"Morris K. Jesup Fund, 1933",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10159,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
16.68.2,TRUE,TRUE,10174,American Decorative Arts,Painting,Mary Sylvester,American,,,,,Artist,,Joseph Blackburn,active 1752–ca. 1778,,"Blackburn, Joseph",,1715,1815,1754,1754,1754,Oil on canvas,49 7/8 x 40 in. (126.7 x 101.6 cm),"Gift of Sylvester Dering, 1916",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/10174,6/25/18 8:00,"Metropolitan Museum of Art, New York, NY"
